id,description,smarts,group,priority
1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]",Glaxo,8
2,R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]",Glaxo,8
3,R3 Carbazides,O=CN=[N+]=[N-],Glaxo,8
4,R4 Sulphate esters,"COS(=O)O[C,c]",Glaxo,8
5,R5 Sulphonates,"COS(=O)(=O)[C,c]",Glaxo,8
6,R6 Acid anhydrides,C(=O)OC(=O),Glaxo,8
7,R7 Peroxides,OO,Glaxo,8
8,R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),Glaxo,8
9,R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1,Glaxo,8
10,R10 esters of HOBT,C(=O)Onnn,Glaxo,8
11,R11 Isocyanates & Isothiocyanates,"N=C=[S,O]",Glaxo,8
12,R12 Triflates,OS(=O)(=O)C(F)(F)F,Glaxo,8
13,R13 lawesson's reagent and derivatives,P(=S)(S)S,Glaxo,8
14,R14 phosphoramides,NP(=O)(N)N,Glaxo,8
15,R15 Aromatic azides,cN=[N+]=[N-],Glaxo,8
16,R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]",Glaxo,8
17,R17 acylhydrazide,[N;R0][N;R0]C(=O),Glaxo,8
18,"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]",Glaxo,8
19,R19 Phosphoranes,C=P,Glaxo,8
20,R20 Chloramidines,[Cl]C([C&R0])=N,Glaxo,8
21,R21 Nitroso,[N&D2](=O),Glaxo,8
22,R22 P/S Halides,"[P,S][Cl,Br,F,I]",Glaxo,8
23,R23 Carbodiimide,N=C=N,Glaxo,8
24,R24 Isonitrile,[N+]#[C-],Glaxo,8
25,R25 Triacyloximes,C(=O)N(C(=O))OC(=O),Glaxo,8
26,R26 Cyanohydrins,N#CC[OH],Glaxo,8
27,R27 Acyl cyanides,N#CC(=O),Glaxo,8
28,R28 Sulfonyl cyanides,S(=O)(=O)C#N,Glaxo,8
29,R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N,Glaxo,8
30,R30 Azocyanamides,[N;R0]=[N;R0]C#N,Glaxo,8
31,R31 Azoalkanals,[N;R0]=[N;R0]CC=O,Glaxo,8
32,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],Glaxo,8
33,I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",Glaxo,8
34,I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],Glaxo,8
35,I4 Disulphides,SS,Glaxo,8
36,I5 Thiols,[SH],Glaxo,8
37,"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1",Glaxo,8
38,"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH]),Glaxo,8
39,"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH]),Glaxo,8
40,I9 Hydrazothiourea,N=NC(=S)N,Glaxo,8
41,I10 Thiocyanate,SC#N,Glaxo,8
42,I11 Benzylic quaternary Nitrogen,cC[N+],Glaxo,8
43,I12 Thioesters,"C[O,S;R0][C;R0](=S)",Glaxo,8
44,I13 Cyanamides,N[CH2]C#N,Glaxo,8
45,I14 Four membered lactones,C1(=O)OCC1,Glaxo,8
46,I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH],Glaxo,8
47,I16 Betalactams,N1CCC1=O,Glaxo,8
48,N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1,Glaxo,8
49,N2 Polyenes,C=CC=CC=CC=C,Glaxo,8
50,N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2,Glaxo,8
51,N4 Cytochalasin derivatives,O=C1NCC2CCCCC21,Glaxo,8
52,N5 Cycloheximide derivatives,O=C1CCCC(N1)=O,Glaxo,8
53,N6 Monensin derivatives,O1CCCCC1C2CCCO2,Glaxo,8
54,N7 Cyanidin derivatives,[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3,Glaxo,8
55,N8 Squalestatin derivatives,C12OCCC(O1)CC2,Glaxo,8
56,> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]",Dundee,4
57,2-halo pyridine,"n1c([F,Cl,Br,I])cccc1",Dundee,4
58,acid halide,"C(=O)[Cl,Br,I,F]",Dundee,4
59,acyclic C=C-O,C=[C!r]O,Dundee,4
60,acyl cyanide,N#CC(=O),Dundee,4
61,acyl hydrazine,C(=O)N[NH2],Dundee,4
62,aldehyde,[CH1](=O),Dundee,4
63,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],Dundee,4
64,alkyl halide,"[CX4][Cl,Br,I]",Dundee,4
65,amidotetrazole,c1nnnn1C=O,Dundee,4
66,aniline,c1cc([NH2])ccc1,Dundee,4
67,azepane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee,4
68,Azido group,N=[N+]=[N-],Dundee,4
69,Azo group,N#N,Dundee,4
70,azocane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee,4
71,benzidine,"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2",Dundee,4
72,beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)",Dundee,4
73,biotin analogue,C12C(NC(N1)=O)CSC2,Dundee,4
74,Carbocation/anion,"[C+,c+,C-,c-]",Dundee,4
75,catechol,"c1c([OH])c([OH,NH2,NH])ccc1",Dundee,4
76,charged oxygen or sulfur atoms,"[O+,o+,S+,s+]",Dundee,4
77,chinone,"C1(=[O,N])C=CC(=[O,N])C=C1",Dundee,4
78,chinone,"C1(=[O,N])C(=[O,N])C=CC=C1",Dundee,4
79,conjugated nitrile group,C=[C!r]C#N,Dundee,4
80,crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]",Dundee,4
81,cumarine,c1ccc2c(c1)ccc(=O)o2,Dundee,4
82,cyanamide,N[CH2]C#N,Dundee,4
83,cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N",Dundee,4
84,cyanohydrins,N#CC[OH],Dundee,4
85,cycloheptane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1,Dundee,4
